公告,#genre#
快乐垂钓,http://183.129.94.36:4022/rtp/233.50.200.123:5140
快乐垂钓,http://125.123.120.15:4022/rtp/233.50.200.123:5140
茶,http://183.129.94.36:4022/rtp/233.50.201.188:5140
茶,http://125.123.120.15:4022/rtp/233.50.201.188:5140
北京联通,#genre#
CGTN,http://222.129.139.229:8888/rtp/239.3.1.215:4220
CGTN,http://114.243.102.150:8888/rtp/239.3.1.215:4220
CGTN纪录,http://222.129.139.229:8888/rtp/239.3.1.216:4220
CGTN纪录,http://114.243.102.150:8888/rtp/239.3.1.216:4220
CGTN西语,http://222.129.139.229:8888/rtp/239.3.1.217:4220
CGTN西语,http://114.243.102.150:8888/rtp/239.3.1.217:4220
CGTN法语,http://222.129.139.229:8888/rtp/239.3.1.218:4220
CGTN法语,http://114.243.102.150:8888/rtp/239.3.1.218:4220
CGTN阿语,http://222.129.139.229:8888/rtp/239.3.1.219:4220
CGTN阿语,http://114.243.102.150:8888/rtp/239.3.1.219:4220
CGTN俄语,http://222.129.139.229:8888/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.102.150:8888/rtp/239.3.1.220:4220
华数4K影视,http://222.129.139.229:8888/rtp/239.2.1.236:2000
华数4K影视,http://114.243.102.150:8888/rtp/239.2.1.236:2000
北京4K,http://222.129.139.229:8888/rtp/239.3.1.249:8001
北京4K,http://114.243.102.150:8888/rtp/239.3.1.249:8001
北京淘电影,http://222.129.139.229:8888/rtp/239.3.1.250:8001
北京淘电影,http://114.243.102.150:8888/rtp/239.3.1.250:8001
北京淘剧场,http://222.129.139.229:8888/rtp/239.3.1.95:8001
北京淘剧场,http://114.243.102.150:8888/rtp/239.3.1.95:8001
北京淘精彩,http://222.129.139.229:8888/rtp/239.3.1.178:8001
北京淘精彩,http://114.243.102.150:8888/rtp/239.3.1.178:8001
北京淘娱乐,http://222.129.139.229:8888/rtp/239.3.1.100:8001
北京淘娱乐,http://114.243.102.150:8888/rtp/239.3.1.100:8001
北京淘Baby,http://222.129.139.229:8888/rtp/239.3.1.238:8001
北京淘Baby,http://114.243.102.150:8888/rtp/239.3.1.238:8001
萌宠TV,http://222.129.139.229:8888/rtp/239.3.1.102:8001
萌宠TV,http://114.243.102.150:8888/rtp/239.3.1.102:8001
北京新闻,http://222.129.139.229:8888/rtp/239.3.1.159:8000
北京新闻,http://114.243.102.150:8888/rtp/239.3.1.159:8000
北京影视,http://222.129.139.229:8888/rtp/239.3.1.158:8000
北京影视,http://114.243.102.150:8888/rtp/239.3.1.158:8000
北京文艺,http://222.129.139.229:8888/rtp/239.3.1.242:8000
北京文艺,http://114.243.102.150:8888/rtp/239.3.1.242:8000
北京财经,http://222.129.139.229:8888/rtp/239.3.1.116:8000
北京财经,http://114.243.102.150:8888/rtp/239.3.1.116:8000
北京生活,http://222.129.139.229:8888/rtp/239.3.1.117:8000
北京生活,http://114.243.102.150:8888/rtp/239.3.1.117:8000
北京纪实,http://222.129.139.229:8888/rtp/239.3.1.115:8000
北京纪实,http://114.243.102.150:8888/rtp/239.3.1.115:8000
卡酷少儿,http://222.129.139.229:8888/rtp/239.3.1.189:8000
卡酷少儿,http://114.243.102.150:8888/rtp/239.3.1.189:8000
北京体育休闲,http://222.129.139.229:8888/rtp/239.3.1.243:8000
北京体育休闲,http://114.243.102.150:8888/rtp/239.3.1.243:8000
北京国际频道,http://222.129.139.229:8888/rtp/239.3.1.235:8000
北京国际频道,http://114.243.102.150:8888/rtp/239.3.1.235:8000
金鹰纪实,http://222.129.139.229:8888//rtp/239.3.1.58:8156
金鹰纪实,http://114.243.102.150:8888//rtp/239.3.1.58:8156
爱上4K,http://222.129.139.229:8888//rtp/239.3.1.236:2000
爱上4K,http://114.243.102.150:8888//rtp/239.3.1.236:2000
中国交通,http://222.129.139.229:8888/rtp/239.3.1.188:8001
中国交通,http://114.243.102.150:8888/rtp/239.3.1.188:8001
朝阳融媒,http://222.129.139.229:8888/rtp/239.3.1.163:8001
朝阳融媒,http://114.243.102.150:8888/rtp/239.3.1.163:8001
密云电视台,http://222.129.139.229:8888/rtp/239.3.1.154:8001
密云电视台,http://114.243.102.150:8888/rtp/239.3.1.154:8001
中国教育1台,http://222.129.139.229:8888/rtp/239.3.1.57:8152
中国教育1台,http://114.243.102.150:8888/rtp/239.3.1.57:8152
天津联通,#genre#
河南梨园,http://111.167.64.129:4022/rtp/225.1.2.104:5002
河南梨园,http://60.27.103.47:8082/rtp/225.1.2.104:5002
精彩影视,http://111.167.64.129:4022/rtp/225.1.1.141:5002
精彩影视,http://60.27.103.47:8082/rtp/225.1.1.141:5002
天津影视,http://111.167.64.129:4022/rtp/225.1.1.149:5002
天津影视,http://60.27.103.47:8082/rtp/225.1.1.149:5002
天津文艺,http://111.167.64.129:4022/rtp/225.1.1.131:5002
天津文艺,http://60.27.103.47:8082/rtp/225.1.1.131:5002
天津都市,http://111.167.64.129:4022/rtp/225.1.1.128:5002
天津都市,http://60.27.103.47:8082/rtp/225.1.1.128:5002
天津教育,http://111.167.64.129:4022/rtp/225.1.1.129:5002
天津教育,http://60.27.103.47:8082/rtp/225.1.1.129:5002
蓟州,http://111.167.64.129:4022/rtp/225.1.1.82:5002
蓟州,http://60.27.103.47:8082/rtp/225.1.1.82:5002
广东电信,#genre#
广东珠江,http://14.145.234.215:8888/rtp/239.77.0.114:5146
广东珠江,http://58.63.66.240:8888/rtp/239.77.0.114:5146
广东新闻,http://14.145.234.215:8888/rtp/239.77.0.173:5146
广东新闻,http://58.63.66.240:8888/rtp/239.77.0.173:5146
广东民生,http://14.145.234.215:8888/rtp/239.77.0.225:5146
广东民生,http://58.63.66.240:8888/rtp/239.77.0.225:5146
广东体育,http://14.145.234.215:8888/rtp/239.77.0.168:5146
广东体育,http://58.63.66.240:8888/rtp/239.77.0.168:5146
广东经济科教,http://14.145.234.215:8888/rtp/239.77.0.167:5146
广东经济科教,http://58.63.66.240:8888/rtp/239.77.0.167:5146
大湾区卫视,http://14.145.234.215:8888/rtp/239.77.0.215:5146
大湾区卫视,http://58.63.66.240:8888/rtp/239.77.0.215:5146
广东影视,http://14.145.234.215:8888/rtp/239.77.0.217:5146
广东影视,http://58.63.66.240:8888/rtp/239.77.0.217:5146
南国都市,http://14.145.234.215:8888/rtp/239.253.43.99:5146
南国都市,http://58.63.66.240:8888/rtp/239.253.43.99:5146
广东少儿,http://14.145.234.215:8888/rtp/239.77.0.250:5146
广东少儿,http://58.63.66.240:8888/rtp/239.77.0.250:5146
现代教育,http://14.145.234.215:8888/rtp/239.77.0.213:5146
现代教育,http://58.63.66.240:8888/rtp/239.77.0.213:5146
嘉佳卡通,http://14.145.234.215:8888/rtp/239.77.0.179:5146
嘉佳卡通,http://58.63.66.240:8888/rtp/239.77.0.179:5146
广东综艺,http://14.145.234.215:8888/rtp/239.77.1.237:5146
广东综艺,http://58.63.66.240:8888/rtp/239.77.1.237:5146
广州竞赛,http://120.197.18.252:2901/udp/224.1.100.105:11111
广州竞赛,http://119.32.12.32:2901/udp/224.1.100.105:11111
广州综合台,http://14.145.234.215:8888/rtp/239.253.43.71:5146
广州综合台,http://58.63.66.240:8888/rtp/239.253.43.71:5146
广州新闻,http://14.145.234.215:8888/rtp/239.253.43.72:5146
广州新闻,http://58.63.66.240:8888/rtp/239.253.43.72:5146
广州影视,http://14.145.234.215:8888/rtp/239.253.43.73:5146
广州影视,http://58.63.66.240:8888/rtp/239.253.43.73:5146
广州法治,http://14.145.234.215:8888/rtp/239.253.43.74:5146
广州法治,http://58.63.66.240:8888/rtp/239.253.43.74:5146
潮州综合,http://14.145.234.215:8888/rtp/239.253.43.70:5146
潮州综合,http://58.63.66.240:8888/rtp/239.253.43.70:5146
潮州民生,http://14.145.234.215:8888/rtp/239.253.43.75:5146
潮州民生,http://58.63.66.240:8888/rtp/239.253.43.75:5146
深圳都市,http://14.145.234.215:8888/rtp/239.77.1.176:5146
深圳都市,http://58.63.66.240:8888/rtp/239.77.1.176:5146
深圳电视剧,http://14.145.234.215:8888/rtp/239.77.1.125:5146
深圳电视剧,http://58.63.66.240:8888/rtp/239.77.1.125:5146
深圳财经生活,http://14.145.234.215:8888/rtp/239.77.1.242:5146
深圳财经生活,http://58.63.66.240:8888/rtp/239.77.1.242:5146
深圳体育健康,http://14.145.234.215:8888/rtp/239.77.1.140:5146
深圳体育健康,http://58.63.66.240:8888/rtp/239.77.1.140:5146
深圳少儿,http://14.145.234.215:8888/rtp/239.77.1.244:5146
深圳少儿,http://58.63.66.240:8888/rtp/239.77.1.244:5146
深圳宝安,http://14.145.234.215:8888/rtp/239.77.1.67:5146
深圳宝安,http://58.63.66.240:8888/rtp/239.77.1.67:5146
深圳龙岗,http://14.145.234.215:8888/rtp/239.77.1.223:5146
深圳龙岗,http://58.63.66.240:8888/rtp/239.77.1.223:5146
韶关新闻,http://14.145.234.215:8888/rtp/239.77.0.117:5146
韶关新闻,http://58.63.66.240:8888/rtp/239.77.0.117:5146
岭南戏曲,http://14.145.234.215:8888/rtp/239.77.0.122:5146
岭南戏曲,http://58.63.66.240:8888/rtp/239.77.0.122:5146
汕头综合,http://14.145.234.215:8888/rtp/239.77.1.130:5146
汕头综合,http://58.63.66.240:8888/rtp/239.77.1.130:5146
汕头经济生活,http://14.145.234.215:8888/rtp/239.77.1.131:5146
汕头经济生活,http://58.63.66.240:8888/rtp/239.77.1.131:5146
汕头文旅体育,http://14.145.234.215:8888/rtp/239.253.43.47:5146
汕头文旅体育,http://58.63.66.240:8888/rtp/239.253.43.47:5146
佛山公共,http://14.145.234.215:8888/rtp/239.253.43.53:5146
佛山公共,http://58.63.66.240:8888/rtp/239.253.43.53:5146
佛山影视,http://14.145.234.215:8888/rtp/239.253.43.56:5146
佛山影视,http://58.63.66.240:8888/rtp/239.253.43.56:5146
佛山综合,http://14.145.234.215:8888/rtp/239.253.43.57:5146
佛山综合,http://58.63.66.240:8888/rtp/239.253.43.57:5146
佛山南海,http://14.145.234.215:8888/rtp/239.253.43.54:5146
佛山南海,http://58.63.66.240:8888/rtp/239.253.43.54:5146
佛山顺德,http://14.145.234.215:8888/rtp/239.253.43.55:5146
佛山顺德,http://58.63.66.240:8888/rtp/239.253.43.55:5146
东莞新闻,http://14.145.234.215:8888/rtp/239.253.43.104:5146
东莞新闻,http://58.63.66.240:8888/rtp/239.253.43.104:5146
东莞生活资讯,http://14.145.234.215:8888/rtp/239.253.43.105:5146
东莞生活资讯,http://58.63.66.240:8888/rtp/239.253.43.105:5146
HZTV1,http://14.145.234.215:8888/rtp/239.77.1.232:5146
HZTV1,http://58.63.66.240:8888/rtp/239.77.1.232:5146
HZTV2,http://14.145.234.215:8888/rtp/239.77.1.233:5146
HZTV2,http://58.63.66.240:8888/rtp/239.77.1.233:5146
珠海-1,http://14.145.234.215:8888/rtp/239.77.0.155:5146
珠海-1,http://58.63.66.240:8888/rtp/239.77.0.155:5146
揭阳生活,http://14.145.234.215:8888/rtp/239.77.0.251:5146
揭阳生活,http://58.63.66.240:8888/rtp/239.77.0.251:5146
揭阳综合,http://14.145.234.215:8888/rtp/239.77.0.229:5146
揭阳综合,http://58.63.66.240:8888/rtp/239.77.0.229:5146
汕尾新闻综合,http://14.145.234.215:8888/rtp/239.77.0.25:5146
